barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
7244219,S251146,Immigration Notice Index,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1972 - 1973,1972,1973,Closed,Withheld pending adv,2012-08-17 00:00:00
7244226,S251155,Refugee policy other countries - Vietnam - Part 5,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1979 - 1979,1979,1979,Closed,Withheld pending adv,2017-04-06 00:00:00
7244273,S251231,[Title exempt],A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1980 - 1981,1980,1981,Closed,Withheld pending adv,2017-03-29 00:00:00
7276085,E1977/506 PART 1,Law Reform Commission - Class actions,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1977 - 1977,1977,1977,Closed,Withheld pending adv,2017-05-24 00:00:00
7294043,15,[Personal papers of Prime Minister E G Whitlam] Folder of background information on Antarctica   [box 1],M544,Folders of background information relating to foreign affairs,1973 - 1975,1973,1975,Closed,Withheld pending adv,2012-12-05 00:00:00
7294048,20,[Personal papers of Prime Minister E G Whitlam] Bundle of general foreign policy material [box 2],M544,Folders of background information relating to foreign affairs,1975 - 1975,1975,1975,Closed,Withheld pending adv,2012-11-30 00:00:00
7425093,S51,Protective Security Review - Compol and Protective Services Co-ordination Centre - Relationship,A10500,"Protective Security Review files, alpha numeric series",1978 - 1978,1978,1978,Closed,Withheld pending adv,2010-09-22 00:00:00
7436529,1987/6937,"Reference papers for File LT1985/16294 - J Kokotovic, A Zvirotic, M Bebic and V Brajkovic v Regina - Subpoena to produce documents",A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1983 - 1987,1983,1987,Closed,Withheld pending adv,2015-03-06 00:00:00
7436561,1989/12388,PSCC Library - International Terrorism - CIA assessment,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1988 - 1989,1988,1989,Closed,Withheld pending adv,2016-07-26 00:00:00
7436572,1990/7674,Protection of diplomatic premises and personnel - Yugoslavia,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1989 - 1990,1989,1990,Closed,Withheld pending adv,2016-06-30 00:00:00
